date,focus,case_file,note_file
2025-05-01,"Disbursement flow integration with async statuses",tests/nonprod/ngo_portal/cases/2025-05-01.json,docs/nonprod/ngo_portal/daily/2025-05-01.md
2025-05-02,"Frontend tests for campaign and wallet flows",tests/nonprod/ngo_portal/cases/2025-05-02.json,docs/nonprod/ngo_portal/daily/2025-05-02.md
2025-05-03,"UI fixes/refactor/perf cleanup",tests/nonprod/ngo_portal/cases/2025-05-03.json,docs/nonprod/ngo_portal/daily/2025-05-03.md
2025-05-04,"NGO docs/config/changelog updates",tests/nonprod/ngo_portal/cases/2025-05-04.json,docs/nonprod/ngo_portal/daily/2025-05-04.md
2025-05-05,"NGO campaign UI flow connected to API",tests/nonprod/ngo_portal/cases/2025-05-05.json,docs/nonprod/ngo_portal/daily/2025-05-05.md
2025-05-06,"Onboarding/auth forms with validation + error states",tests/nonprod/ngo_portal/cases/2025-05-06.json,docs/nonprod/ngo_portal/daily/2025-05-06.md
2025-05-07,"Dashboard/reporting data mapping and filtering",tests/nonprod/ngo_portal/cases/2025-05-07.json,docs/nonprod/ngo_portal/daily/2025-05-07.md
2025-05-08,"Disbursement flow integration with async statuses",tests/nonprod/ngo_portal/cases/2025-05-08.json,docs/nonprod/ngo_portal/daily/2025-05-08.md
2025-05-09,"Frontend tests for campaign and wallet flows",tests/nonprod/ngo_portal/cases/2025-05-09.json,docs/nonprod/ngo_portal/daily/2025-05-09.md
2025-05-10,"UI fixes/refactor/perf cleanup",tests/nonprod/ngo_portal/cases/2025-05-10.json,docs/nonprod/ngo_portal/daily/2025-05-10.md
2025-05-11,"NGO docs/config/changelog updates",tests/nonprod/ngo_portal/cases/2025-05-11.json,docs/nonprod/ngo_portal/daily/2025-05-11.md
2025-05-12,"NGO campaign UI flow connected to API",tests/nonprod/ngo_portal/cases/2025-05-12.json,docs/nonprod/ngo_portal/daily/2025-05-12.md
2025-05-13,"Onboarding/auth forms with validation + error states",tests/nonprod/ngo_portal/cases/2025-05-13.json,docs/nonprod/ngo_portal/daily/2025-05-13.md
2025-05-14,"Dashboard/reporting data mapping and filtering",tests/nonprod/ngo_portal/cases/2025-05-14.json,docs/nonprod/ngo_portal/daily/2025-05-14.md
2025-05-15,"Disbursement flow integration with async statuses",tests/nonprod/ngo_portal/cases/2025-05-15.json,docs/nonprod/ngo_portal/daily/2025-05-15.md
2025-05-16,"Frontend tests for campaign and wallet flows",tests/nonprod/ngo_portal/cases/2025-05-16.json,docs/nonprod/ngo_portal/daily/2025-05-16.md
2025-05-17,"UI fixes/refactor/perf cleanup",tests/nonprod/ngo_portal/cases/2025-05-17.json,docs/nonprod/ngo_portal/daily/2025-05-17.md
2025-05-18,"NGO docs/config/changelog updates",tests/nonprod/ngo_portal/cases/2025-05-18.json,docs/nonprod/ngo_portal/daily/2025-05-18.md
